actual_category,predicted_position,skills,education,experience,companies,id
,Technical Sales Consultant,"Lead genearation, Customer Handling, cold calling, Negotiation, upselling, IT sales, outbound
calling, Technical Support, sales forcasting, Software sale, product demonstration, cross selling,
Inside Sales, Technical sales, MS office, software integration, Network Management","Govt Science College, BACHELOR OF SCIENCE in Electronics, Dayananda Sagar College of Engineering","CES ASSOCIATE CONSULTANT, CES ASSOCIATE CONSULTANT",SAP ARIBA,63
,Software Test Engineer,"logging, Black Box, SQL, Database, java","pragathi high school, narayana jr.college, vasundhara womens",Software Engineer,"Accenture, Accenture, Accenture",64
,SAP EWM Functional Consultant,"• SAP Knowledge: SAP EWM, SAP WM, SAP SD, SAP MM, SAP AFS, SAP PP, SAP XI
• Computing languages: SQL, MS-Office, Open office, HTML, PHP, Professional competencies
Business /IT Consulting Configuration/ Support Requirements/ Blue print /Gap Analysis
Coding/Debugging Change Management Functional/ Technical Spec Design","Anna University, Bachelor of Technology in Information Technology, Anna University",Functional Consultant / WM Lead,"SAP EWM, SAP EWM, SAP EWM",65
,Escalation Engineer,"SCOM, Orchestrator SCSM, OPERATIONS MANAGER, SCOM, OPERATIONS MANAGER","Pune University, B.E., B.E.",Working as Escalation Engineer,"Microsoft, Microsoft, Microsoft",66
,Automation Engineer,"AC (Less than 1 year), Allen Bradley (Less than 1 year), Engineer (Less than 1 year), FANUC
(Less than 1 year), GE FANUC (Less than 1 year)","B.E. in Electrical, Govt. High school Yernalli",Technical Support Engineer,SAP,67
,Java Developer,,"ITM University Gwalior, Bachelor of Engineering in Mechanical Eng","JAVA Developer/Senior Systems Engineer, JAVA Developer/Senior Systems Engineer","INFOSYS LIMITED, INFOSYS LIMITED, INFOSYS LIMITED",68
,SAP ABAP Developer,"OOPS-ABAP, SAP ABAP, OOPS-ABAP","Anna University Chennai, B.Tech in Technology","Application Developer, Application Developer, Application Developer","SAP ABAP, SAP ABAP, SAP ABAP",69
,Telecom Engineer,"Domain telecom

Platform-windows

Framework-filezilla, putty, CHANGE MANAGEMENT (Less than 1 year), Configuration Management (Less than 1 year), Git
(Less than 1 year), Incident Management (Less than 1 year), Linux (Less than 1 year)

ADDITIONAL INFORMATION

Operating Systems Windows 7, ubuntu Linux
Configuration Management Git, svn
Incident Management IBM i series 400

Domain insurance

Platform - Windows

Framework-Group Asia

Domian Telecom","CDAC Mohali, CDAC, Android",,"ORACLE -, ORACLE -, ORACLE -",70
,Mule ESB Integration Developer,"Languages Java, Java Script, PL/SQL, SQL SERVER, HTML, XML,
XSLT
Application Servers J Boss, Apache Tomcat, Web logic, IBM web sphere

Databases Oracle, SQL SERVER

Development Tools MVC, Singleton, Session Facade, DTO, DAO,

Service Locator

SOA Restful Web Service, Soap web service, JAX-RS, XML, JSON, WS
Security, Mule ESB

IDE's/TOOLS Eclipse, Mule Anypoint Studio

Java/J2EETechnologies Java, Servlets, JSP, JDBC, EJB, JMS

Protocols HTTP, FTP, TCP/IP

Version Control tools CVS, SVN, GIT

Build Tool Ant, Maven

Bug Tracking Tools HP Quality Center, Rally

Frameworks Spring, Hibernate, Struts, Spring MVC, Micro Services, EJB, JMS

Operating Systems Windows, UNIX, LINUX, ORACLE (3 years), JAVA (3 years), SOAP (2 years), Subversion (2 years), SVN (2 years)","Amrita School of Engineering, Bachelor of Technology in Technology","Software Engineer, Software Engineer, Software Engineer","Arrow Electronics Inc, Cisco Systems, Cisco Systems",71
,Project Manager,,"Adhiparasakthi Engineering College (Anna University), BACHELOR OF ENGINEERING in ELECTRONICS & COMMUNICATION
ENGINEERING, Great Lakes Institute Of Management","Technology Lead / Analyst, Project Manager / Technology Lead, Project Manager / Technology Lead","Infosys Limited, Infosys Limited, Infosys Limited",72
,Application Developer,"Application Development, Software Testing","VSSUT,burla, Electrical engineering",App develop,Microsoft,73
,Product Marketing Manager,"Project Management, Product Marketing, Campaigns Management, Digital Marketing, Social
Media Marketing, Marketing Operations, Content Marketing, Channels Operations, Marketo
Admin User, Microsoft Office, Cross Functional Marketing, Salesforce, Marketing Programs,
Global Marketing, Marketo, Training","Mount Carmel Institute of Management, Post Graduate Diploma in Business Administration in Marketing and
Human Resource",,,74
,Mainframe Systems Engineer,"Tools: ISPF, SPUFI, QMF, File-Aid, MainView, Librarian, CA7, Control-M, Xpeditor
• Operating System: Windows 7
• Database: DB2, SQL Server
• Domain: Retail
• Packages: MS office

• Secondary Skills: Java Script, HTML, JSP, Java, Oracle 10g, Unix, CA7 (4 years), DB2 (4 years), QMF (4 years), Cobol (4 years), Mainframe (4 years), Cics (4
years), Rexx (4 years)","S.R high School -  Chennai, Tamil Nadu, Pratibha Junior College, GMR Institute of Technology and Management","Senior Systems Engineer, Senior Systems Engineer",Infosys Limited,75
,Network Engineer,"BGP (2 years), EIGRP. (2 years), OSPF (2 years), security (2 years), vlan (2 years)

ADDITIONAL INFORMATION

Technical Skills

Network
➢ Switching: CST, PVST, PVST+, RSTP and MST, VLAN, Private VLAN, Trucking, Inter-VLAN Routing,
SPAN/RSPAN, Ether channel or Port Bundling using static and dynamic protocol (PAgP and LACP)
➢ FHRP: HSRP (V1 & V2), VRRP and GLBP.
➢ Routing: Configuration and Troubleshooting Layer 3 Routing protocols such as Static routing,
floating routing, RIP, EIGRP, OSPF, BGP, VRF-Lite and MPLS.

Data Security
➢ Checkpoint Firewall: FW Monitor, TCP-Dumps, Rules, NAT, IPsec VPN, Backup & Restore, URL
filtering, Installation, Migration, Upgradation, ClusterXL etc.
➢ ASA Firewall: Access Control Lists with object, Address Translation, IPsec VPN, LAN-to-LAN VPN,
High Availability in Active-Active & Active-Standby Mode, Redundant interface, SLA Monitoring,
Security Contexts.
➢ IOS Firewall: Standard and extended access list and Zone Based Firewall (ZBF), DMVPN, IPsec,
IPsec over GRE.

Services
➢ Services: ARP, GARP, RARP, DNS, DHCP, FTP, TFTP, TCP, ICMP, TELNET, SSH, HTTP, HTTPS. IP
SLA, NTP, SNMP","Dr. R.M.L.S COLLEGE, H.S.C, R.D.S COLLEGE","Associate network engineer, Associate network engineer",TATA Communications Ltd,76
,Network Test Engineer,"Virtualization VMware-VSphere, DVS, Cisco AVS, Cisco
ACE

SDN Cisco Application Centric Infrastructure
(ACI)

L2/L3 Protocols OSPF, EIGRP, MPLS, VLAN, VXLAN,
STP, RSTP, VPC

Metro Ethernet Protocols Carrier Ethernet protocols EVC, MPLS TP,
PsudoWire, REP

Traffic Generation Tools Traffic tools IXIA Iexplore and Smart Bit

Testing Tools Wireshark and MIB Browser

Network Products Cisco SDN ACI Fabric
VMWare 5.5 and 6.0
Cisco UCSD Orchestration
Carrier Ethernet devices (CPT […]
Cisco Metro Ethernet 2600
Cisco routers GSR 12000, 7600
Data center Virtualization using the ACE
Nexus 5k and ACI 9K switches
Cat 6500 and 3550 Switches, CPT (3 years), Data Center (4 years), Ethernet (3 years), testing (10+ years), Virtualization (7
years)","Dr MGR University Chennai, B.Tech in Computer Science in Computer Science","Technical Lead, Technical Lead, Technical Lead","Cisco, Cisco, Cisco",77
,SAP CRM Functional Consultant,"CRM (10+ years), CUSTOMER RELATIONSHIP MANAGEMENT (10+ years), TESTING (10+ years),
UI (10+ years), USER INTERFACE (10+ years)","St. Joseph's convent school, Padmanava College of Engineering, B.E in CSE","Quality Engineer, Offshore SAP CRM Functional Consultant, Offshore SAP CRM Functional Consultant","SAP Labs, SAP Labs, SAP Labs",78
,SAP ABAP Lead Consultant,"Classical and Interactive Reports
• BDC's, LSMW, BAPI,
• BADI, User Exits
• Data Dictionary objects
• Dialog Programming
• ALE/ IDOCS
• SAP Scripts, Smart Forms
• Possess hands on skill set on SD & MM modules.
• Experience on Unit testing (UT), functional testing (FT), UAT scripts and regression","JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, B-TECH","Consultant, Consultant, Consultant","SAP ABAP, SAP ABAP, SAP ABAP",79
,UX/UI Designer,,"Vignan Vidyalayam High School, SSC, Gowtham Jr. College -","Specialist II, Marketing",,80
,Software Development Engineer,"GIT, HTML, PHP, Web Development, Velocity","Kalinga Institute of Industrial Technology, B.Tech","Online Content Writer, Online Content Writer, Software Development Engineer","Amazon, Amazon, Amazon",81
,Oracle Fusion Middleware Technical Consultant,"Oracle, Xml, Oracle MFT, Core Java, Oracle SOA, WSDL, ODI","CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY, C.S.","Technical Consultant, Technical Consultant, Technical Consultant","Oracle, Oracle, Oracle",82
,Salesforce Developer,"Html, Css, Javascript, Salesforce","St. John's School, National Institute Of Technology, B.Tech in EEE","System Engineer, System Engineer, System Engineer",Infosys Limited,83
,Senior DevOps Engineer,"TECHNICAL SKILLS:
Platforms Windows, Unix, Linux
Scripting Language PowerShell scripting, Shell scripting.
Databases Oracle, SQL Server
Build Tools Maven, Ant, MSBuild, Nant
CICD Tools CloudBees Jenkins, TFS, GIT, SVN, Octopus, Jira, , Sonarqube, MSTest, Nexus,
Artifactory, Cobertura, Ansible","Saranathan College of Engineering, Bachelor in ""Instrumentation and Control Engineering""","Technology Analyst, DevOps Consultant","Infosys Limited, Infosys Limited",84
,Network Engineer,"Architecture (Less than 1 year), BGP (Less than 1 year), DHCP (Less than 1 year), DNS (Less
than 1 year), EIGRP (Less than 1 year)

ADDITIONAL INFORMATION

Technical Skills

• Layer 2 Technologies like VTP, VLAN, STP, and RSTP.
• OSI Architecture, TCP/IP Module
• TCP/UDP, DHCP, DNS
• MP-BGP IPv4/IPv6, VPNv4, VPNv6, RT-Filter, IPv6-Multicats.
• Access-List, Prefix-List, Distribution List, QOS.
• MPLS, L2/L3 VPN.
• GRE, IPSec, DMVPN.
• FTP-Active/Passive, TFTP.
• Configuring and Troubleshooting L2 and L3 Ether channels on Cisco 3550, 3560, 2950 switches.
• IP Addressing, VLSM, Summarization, understanding Lease Line and Dedicated Lease Lines.

https://www.indeed.com/r/Snehal-Jadhav/005e1ab800b4cb42?isid=rex-download&ikw=download-top&co=IN


• Configuring HSRP, VRRP, GLBP on Cisco Routers and Switches.
• VTP & Frame Tagging protocols ISL, Dot1q
• NAT, PAT, NAT-T.
• Strong skills in Configuring Cisco Routers (ASR901, ASR903, ASR900) using ISIS, OSPF, EIGRP
and BGP. A good understanding of working on Small to High E1nd Routers and Switches.
• Comprehensive understanding of networking concepts pertaining to LAN, WAN, Security, IT
communication, WAN protocols, Networking devices administration and maintenance in multi-
platform environments.
• Strong hands-on technical knowledge of Microsoft Operating Systems (Network & Desktop),
establishing & managing networks, Cisco Routers, Hardware clients & switches.
• Expertise in managing medium to large networks with Routers, Switches.","Shivaji University, B.E in Electronics & Telecommunication, Maharashtra Board",L1 network engineer,"Cisco, Cisco, Cisco",85
,Technical Support Engineer,"Linux (Less than 1 year), Microsoft Office (Less than 1 year), MS OFFICE (Less than 1 year),
problem solving (Less than 1 year)","State Board, Frankfinn Institute of Airhostess Training, BTEC HNC in Aviation in Hospitality and Travel Management","Technical support engineer, IT SUPPORT","Microsoft, Microsoft, Microsoft",86
,Technical Support Engineer,"DBMS, O365, Communication Skills, Exchange 2013, Hospitality, Networking, Computer
Operating, Programming, Computer Hardware, Java, Exchange 2010, Teaching

ADDITIONAL INFORMATION

Skill Set
➢ Excellent communication and interpersonal skills.","State Board +2, Frankfinn Institute of Airhostess Training, BTEC HNC in Aviation",Technical Support Engineer,Microsoft Corporation,87
,Finance Analyst,"ERP, Microsoft office, ERP, Oracle SQL, Microsoft office, MS OFFICE, Microsoft office","Avinashilingam Deemed University, S.B.K.V higher secondary school, Avinashilingam Institute for Home Science & Higher Education for Women","Finance Analyst, Finance Analyst",Oracle India Pvt ltd,88
,Software Engineer,"Databases (Primary): Teradata, Oracle (SQL, PL/SQL)
• OS: Unix, Windows, Mac OS
• Teradata Tools & Utilities: BTEQ, Muti Load, Fast Load, Tpump, TPT.
• Reporting Tools: BO Reporting, Crystal Report, Universe design tool, BOBJ Migration tool
• Other Tools: Radar, Espresso, SQL Workbench, SQL Developer, ETL Metadata UI, iCheck, Global
deployment tool, Ms office, Power Point, Ms Excel, Workload Automation.
• Applications: Central Station, GitLab, SVN., RETAIL (2 years), RETAIL MARKETING (2 years), TERADATA (2 years), ACCEPTANCE TESTING
(Less than 1 year), APS (Less than 1 year)","CBSE, ODM Pubic school, CBSE","software engineer, software engineer, software engineer","Oracle, Oracle, Oracle",89
,Test Manager,"Testing (10+ years), Program Management (10+ years), Automation Testing (10+ years),
Selenium Webdriver (4 years), Project Management (10+ years), Java (10+ years), AWS (10+
years), Cloud Computing (4 years)","Kakatiya University, BSC in Computer science, Nagarjuna University","Sr. Test Manager, QA Manager, Sr. Test Manager",,90
,Associate Consultant,"Associate (Less than 1 year), CSS. (Less than 1 year), HTML5 (Less than 1 year), Java (Less
than 1 year), JavaScript (Less than 1 year)

ADDITIONAL INFORMATION

TECHNICAL SKILL SET:

• Programming Languages: C, Java, JavaScript, SQL.
• Web Technologies: HTML5, CSS.
• Working Platform: Windows, Linux.","Convent Girls' High School, SSC, D.G Ruparel College","Associate Consultant, Associate Consultant","Oracle Financial Services, Oracle Financial Services",91
,Principal Engineer,"Oracle Apps DBA Release Enginner, Databases: Oracle 9i/10g, MySql
Languages: PL/SQL, Shell Script.
Frameworks and Portals: Oracle ADF
Server side Technology: J2ee,
IDE: Jdeveloper 10.x","Visveswaraiah Technological University -, B V Bhoomaraddi College of Engg and Technology Hubli, Bachelor of Engineering (Information Science) in Information Science",Principal Engineer Technical Staff,"Oracle India Private Limited, Company 1",92
,SAP FI Support Consultant,"Windows, Microsoft Word, Excel, Power point, Tally, SAP, SAP","B.com, Maharashtra State Government, Pune University, Indian Institute Of Company Secretory Of India (Appeared)","FI Support Consultant, FI Support Consultant",,93
,Senior Software Engineer,"side debugging.
• Hands on experience of Visual Studio debugger for debugging on Windows
platform.
• Working experience of Multithreaded applications for more than eight years
• Good understanding of OOPS Design principles and STL.
• Experienced in using various debuggers that include GDB debugger, Eclipse, VC++ IDE, Trace
32, WinDbg, Visual Studio.
• Good knowledge of Big data technologies(Hadoop, Yarn Architecture, map-
reduce, Hive, Sqoop, Hbase, Zookeeper)
• Good experience in Hadoop development and Admin activities.
• Able to understand and review Java and Scala code
• Good Exposure to Software practices, SDLC.
• Good understanding and porting knowledge of framework components.
• Good understanding of multimedia concepts, Audio video synchronization,
AudioOut, AudioIn and video zoom.
• Knowledge of WEBRTC features.
• Good knowledge of video Engine.
• Basic knowledge of MFC, socket programming.
• Good knowledge in programming and operating system concepts.
• Experience in working in a project from product development phase to
commercialization phase.
• Successfully commercialized more than 25 million mobiles spanning across
twenty models.
• Good global work exposure having worked in different work environments.
• Basic understanding of Linux Operating system.
• Experienced in design and implementation of Multimedia Applications for
Mobile handsets.
• Good experience working on Smart Phone platforms(Framework, Middleware
and Application development) having worked on various mobile platforms
SHP, Samsung Bada, Linux, WindowsMobile5.0, SLP, Android and Tizen.
Syam Prasad Devendla
• Good knowledge and understanding of different frameworks for multimedia.
• Good knowledge of multi-threaded programming and IPC mechanisms.
• Excellent interpersonal and communication skills and ability to work in a team.
• Skilled at learning new concepts quickly, working well under pressure, and
communicating ideas clearly and effectively.
• Tools Used: Beyond Compare, Samsung memory leak tool, and Samsung code
coverageTool, VS 2005 Remote Tools, KlocWork, WinShark and Ethereal.
• Experienced in working with configuration tools like VSS, Perforce, and Clear
Case.

• Operating Systems: Windows, Ubuntu Linux
• Mobile Platforms: SHP, Bada, Linux, WindowsMobile5.0, SLP and Tizen
• Technology: Multimedia, Content, Mobile Applications
• Languages: C, C++(Data Structures, Design Patterns, STL)
• Tools: Eclipse, VS2005, VS2010
KlocWork, Clear case, Perforce, .NET (Less than 1 year), ALGORITHMS (Less than 1 year), ALSA (Less than 1 year), ANDROID
(Less than 1 year), APACHE HADOOP HDFS (Less than 1 year)

ADDITIONAL INFORMATION

Core Competencies

• Extensively worked in C, C++
• Good understanding of Data Structures and Algorithms
• Good understanding and knowledge of BI Analytics of OBIEE.
• Codes at HackerRank.com and am a 4 Star Rank coder in algorithms, coded
using C++ STL
• Hands on experience of GDB Debugger for Core dump analysis and Server","Nagarjuna University, Bachelor of Technology in Electronics and Communications, CDAC",SMTS,Oracle India,94
